운동명,타입,목적,난이도,장소,출현빈도,근력점수,유연성점수,지구력점수
맨몸운동  루틴프로그램,근력,약점 개선,중급,양용,29098,2,0,1
앉았다 일어서기,근력,약점 개선,초급,양용,15788,3,0,1
웨이트 트레이닝  루틴프로그램,근력,약점 개선,중급,실내,15711,3,0,0
전신 루틴 스트레칭,유연성,약점 개선,초급,양용,44188,0,3,0
정적 스트레칭  루틴프로그램,유연성,약점 개선,초급,양용,31261,0,3,0
동적 스트레칭 루틴프로그램,유연성,약점 개선,초급,양용,30144,0,3,0
달리기,지구력,강점 유지,중급,실외,32283,1,0,3
조깅,지구력,강점 유지,중급,실외,27239,1,0,3
걷기,지구력,강점 유지,초급,실외,22808,1,0,3
줄넘기 운동,지구력,강점 유지,중급,양용,19553,0,1,3
