,LFE,LFQ,LSE,LSQ,PFE,PFQ,PSE,PSQ
LFE,0.0,1.4916745959919153,1.5432765792799326,2.3044335278050303,1.1172519988884408,1.6746256103712343,1.643565842408969,2.2166299137105447
LFQ,1.4916745959919153,0.0,2.0777078088891945,1.5964513044869664,2.089374157869437,1.1695340578821072,2.3216511087690734,1.7514439041989533
LSE,1.5432765792799326,2.0777078088891945,0.0,1.5758382335014078,2.0845847516007723,2.344437237689289,1.0753126141213736,1.7289231519039445
LSQ,2.3044335278050303,1.5964513044869664,1.5758382335014078,0.0,2.888183131907319,2.1656650854123423,2.135497651082701,1.2723335165384302
PFE,1.1172519988884408,2.089374157869437,2.0845847516007723,2.888183131907319,0.0,1.5284197969842912,1.505399607408902,2.259075649510125
PFQ,1.6746256103712343,1.1695340578821072,2.344437237689289,2.1656650854123423,1.5284197969842912,0.0,2.015964412972087,1.4965015991399395
PSE,1.643565842408969,2.3216511087690734,1.0753126141213736,2.135497651082701,1.505399607408902,2.015964412972087,0.0,1.5266705598592132
PSQ,2.2166299137105447,1.7514439041989533,1.7289231519039445,1.2723335165384302,2.259075649510125,1.4965015991399395,1.5266705598592132,0.0
